Timestamp,Humidity (%),Temperature (°C),Light (lux),Soil Moisture (%)
18:21:14,52.5,24.1,85.83,30.0
18:21:16,52.5,24.1,85.83,30.0
18:21:18,52.5,24.1,85.83,30.0
18:21:20,52.5,24.1,86.67,30.0
18:21:22,52.5,24.1,86.67,30.0
18:21:24,52.4,24.1,86.67,30.0
18:21:26,52.4,24.1,86.67,30.0
18:21:28,52.4,24.1,85.83,30.0
18:21:30,52.4,24.1,85.83,30.0
18:21:32,52.4,24.1,85.83,30.0
18:21:34,52.4,24.1,85.83,30.0
18:21:36,52.4,24.1,86.67,30.0
18:21:38,52.4,24.1,86.67,30.0
18:21:40,52.4,24.1,86.67,30.0
18:21:42,52.4,24.1,86.67,30.0
18:21:44,52.5,24.1,85.83,30.0
18:21:47,52.4,24.1,86.67,30.0
18:21:49,52.5,24.1,86.67,30.0
18:21:51,52.4,24.1,85.83,30.0
18:21:53,52.4,24.1,86.67,30.0
18:21:55,52.4,24.1,85.83,30.0
18:21:57,52.4,24.1,85.83,30.0
18:21:59,52.4,24.1,85.83,30.0
18:22:01,52.4,24.1,85.83,30.0
18:22:03,52.4,24.1,85.83,30.0
18:22:05,52.4,24.1,86.67,30.0
18:22:07,52.4,24.1,86.67,30.0
18:22:09,52.4,24.1,86.67,30.0
18:22:11,52.4,24.1,86.67,30.0
18:22:13,52.4,24.1,85.83,30.0
18:22:15,52.4,24.1,85.83,30.0
18:22:17,52.4,24.1,85.83,30.0
18:22:19,52.4,24.1,85.83,30.0
18:22:21,52.4,24.1,86.67,30.0
18:22:23,52.4,24.1,86.67,30.0
18:22:25,52.5,24.1,85.83,30.0
18:22:27,52.4,24.1,85.83,30.0
18:22:29,52.4,24.1,85.83,30.0
18:22:31,52.4,24.1,86.67,30.0
18:22:33,52.4,24.1,85.83,30.0
18:22:35,52.4,24.2,86.67,30.0
18:22:37,52.4,24.2,85.83,30.0
18:22:39,52.4,24.2,86.67,30.0
18:22:41,52.4,24.2,86.67,30.0
18:22:43,52.4,24.2,86.67,30.0
18:22:45,52.4,24.2,85.83,29.0
18:22:47,52.4,24.1,85.83,29.0
18:22:49,52.4,24.2,85.83,29.0
18:22:51,52.3,24.2,85.83,29.0
18:22:53,52.4,24.2,86.67,29.0
18:22:55,52.4,24.2,86.67,29.0
18:22:57,52.3,24.2,86.67,29.0
18:22:59,52.3,24.2,85.83,29.0
18:23:01,52.3,24.2,85.83,29.0
18:23:03,52.3,24.2,85.83,29.0
18:23:05,52.3,24.2,85.83,29.0
18:23:07,52.3,24.2,86.67,29.0
18:23:09,52.3,24.2,86.67,29.0
18:23:11,52.2,24.2,87.5,29.0
18:23:13,52.2,24.2,86.67,29.0
18:23:15,52.3,24.2,87.5,29.0
18:23:17,52.2,24.2,86.67,29.0
18:23:19,52.2,24.2,85.83,29.0
18:23:21,52.2,24.2,85.83,29.0
18:23:23,52.2,24.2,85.83,29.0
18:23:25,52.2,24.2,85.83,29.0
18:23:27,52.2,24.2,86.67,29.0
18:23:29,52.2,24.2,86.67,29.0
